customer_id,full_name,document_id,email,phone,city,state_code,customer_segment,signup_date,status,source_updated_at,extracted_at,batch_id
CUST-000001,Diego Moraes Mock 001,SYN-DOC-000001,cliente001@example.com,+5512910000001,Campinas,SP,RESIDENTIAL,2025-06-03,ACTIVE,2026-07-02T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000002,Bruno Moraes Mock 002,SYN-DOC-000002,cliente002@example.com,+5513910000002,Ribeirao Preto,SP,RESIDENTIAL,2025-06-05,ACTIVE,2026-07-03T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000003,Ana Nunes Mock 003,SYN-DOC-000003,cliente003@example.com,+5514910000003,Uberlandia,MG,RESIDENTIAL,2025-06-07,ACTIVE,2026-07-04T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000004,Fabio Costa Mock 004,SYN-DOC-000004,cliente004@example.com,+5515910000004,Belo Horizonte,MG,RESIDENTIAL,2025-06-09,ACTIVE,2026-07-05T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000005,Fabio Barbosa Mock 005,SYN-DOC-000005,cliente005@example.com,+5516910000005,Curitiba,PR,SMB,2025-06-11,ACTIVE,2026-07-06T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000006,Isabela Costa Mock 006,SYN-DOC-000006,cliente006@example.com,+5517910000006,Londrina,PR,RESIDENTIAL,2025-06-13,ACTIVE,2026-07-07T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000007,Elisa Esteves Mock 007,SYN-DOC-000007,NULL,+5518910000007,Goiania,GO,RESIDENTIAL,2025-06-15,ACTIVE,2026-07-08T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000008,Fabio Costa Mock 008,SYN-DOC-000008,cliente008@example.com,+5519910000008,Campo Grande,MS,RESIDENTIAL,2025-06-17,ACTIVE,2026-07-09T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000009,Elisa Esteves Mock 009,SYN-DOC-000009,cliente009@example.com,+5520910000009,Campinas,SP,RESIDENTIAL,2025-06-19,ACTIVE,2026-07-10T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000010,Diego Costa Mock 010,SYN-DOC-000010,cliente010@example.com,+5521910000010,Ribeirao Preto,SP,SMB,2025-06-21,ACTIVE,2026-07-11T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000011,Diego Gomes Mock 011,SYN-DOC-000011,cliente011@example.com,+5522910000011,Uberlandia,MG,RESIDENTIAL,2025-06-23,ACTIVE,2026-07-12T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000012,Isabela Barbosa Mock 012,SYN-DOC-000012,cliente012@example.com,+5523910000012,Belo Horizonte,MG,RESIDENTIAL,2025-06-25,ACTIVE,2026-07-13T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000013,Joao Moraes Mock 013,SYN-DOC-000013,cliente013@example.com,+5524910000013,Curitiba,PR,RESIDENTIAL,2025-06-27,ACTIVE,2026-07-14T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000014,Fabio Dias Mock 014,SYN-DOC-000014,cliente014@example.com,+5525910000014,Londrina,PR,RESIDENTIAL,2025-06-29,ACTIVE,2026-07-15T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000015,Isabela Esteves Mock 015,SYN-DOC-000015,cliente015@example.com,+5526910000015,Goiania,GO,SMB,2025-07-01,ACTIVE,2026-07-16T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000016,Isabela Costa Mock 016,SYN-DOC-000016,cliente016@example.com,+5527910000016,Campo Grande,MS,RESIDENTIAL,2025-07-03,ACTIVE,2026-07-17T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000017,Fabio Freitas Mock 017,SYN-DOC-000017,cliente017@example.com,+5528910000017,Campinas,SP,RESIDENTIAL,2025-07-05,ACTIVE,2026-07-18T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000018,Giovana Gomes Mock 018,SYN-DOC-000018,cliente018@example.com,+5529910000018,Ribeirao Preto,SP,RESIDENTIAL,2025-07-07,ACTIVE,2026-07-19T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000019,Isabela Moraes Mock 019,SYN-DOC-000019,cliente019@example.com,NULL,Uberlandia,MG,RESIDENTIAL,2025-07-09,ACTIVE,2026-07-20T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000020,Camila Almeida Mock 020,SYN-DOC-000020,cliente020@example.com,+5531910000020,Belo Horizonte,MG,SMB,2025-07-11,ACTIVE,2026-07-21T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000021,Isabela Freitas Mock 021,SYN-DOC-000021,cliente021@example.com,+5532910000021,Curitiba,PR,RESIDENTIAL,2025-07-13,ACTIVE,2026-07-22T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000022,Fabio Costa Mock 022,SYN-DOC-000022,cliente022@example.com,+5533910000022,Londrina,PR,RESIDENTIAL,2025-07-15,ACTIVE,2026-07-23T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000023,Henrique Lima Mock 023,SYN-DOC-000023,cliente023@example.com,+5534910000023,Goiania,GO,RESIDENTIAL,2025-07-17,SUSPENDED,2026-07-24T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
CUST-000024,Joao Moraes Mock 024,SYN-DOC-000024,cliente024@example.com,+5535910000024,Campo Grande,MS,RESIDENTIAL,2025-07-19,ACTIVE,2026-07-25T12:00:00Z,2026-08-01T10:00:00Z,batch-20260801-001
